658b0a57-aa24-302e-a62c-c0317bc1ad31	Rami Malek	Person
583fb9f3-8802-3ace-a479-d98fcd38c106	Eher geht ein Kamel durchs Nadelöhr…	Film
45fbd18e-9fd5-3ba2-979a-cd7ef9c868c0	hte	Film
4dc9f9ee-3471-33e6-87ee-bbf557bdd41a	Offenbach: Les Contes d'Hoffmann	Film
570d080c-e23a-3a46-a544-fcdb95aeef00	Valeria Golino	Person
3cbcde12-e224-34cd-a19d-f13566d0766d	Bürgerhaus Kino	Cinema
74ede7da-665a-3cbf-b663-3bed30a5b2cf	Robbi, Tobbi und das Fliewatüüt	Film
0ed7767f-757f-3b9a-89a5-54a4e9267ca7	André Hennicke	Person
8b3eb054-bda2-3135-abe0-5ff389609b21	Pacific Rim 2: Uprising	Film
d1861bf8-1cf1-3ba9-8b3d-0609b75601aa	Giampaolo Morelli	Person
44f2b69f-18f4-31ee-bb92-e0e98bf735b4	Arne Feldhusen	Person
a6fb210f-8a64-34f4-a6fe-294008a14164	Der Dunkle Turm	Film
a249d586-5336-3131-9cdf-ee878ef681fb	Metroplex Fürth
1ee3521a-f20b-32b9-870b-79ffe4e4ad7a	White Rush	Film
(50.3598333,11.1710258)	Sonneberg	City
2c48075a-00ad-3196-87bf-c1666a87b220	Claudia Martini	Person
17b4fccf-a9cb-3f8a-b23e-752697cb1176	Matt Frewer	Person
78248636-15e5-3458-8840-63b9987d9fc0	Martin Hyder	Person
9d48f738-07aa-3244-84b1-151eaa52117c	Myrna Dell	Person
426a187a-c77b-3077-9083-97beaac80f0d	Ruta Gedmintas	Person
df4c1151-aa18-3fb4-87e5-5ecdcf301053	Peter Jacksons Produktions-Tagebücher	Film
0c375080-3de2-34d6-bc46-3221f60bcc40	Naomi Kawase	Person
478fd487-285d-38b2-b0a3-8bf90d9a4f0e	Torrente 3	Film
cdbb35c0-3e9e-38ae-a3ef-5376d0b96ae5	Jophi Ries	Person
dd0719b2-8cf7-3e92-b64e-a2ad13f0c11e	Thor: Tag der Entscheidung	Film
fe28075e-a42d-3a48-89c8-7fbdc197ab9d	Anthony Traina	Person
5899a7a9-1b69-38c2-85ca-c069f52a55fa	UCI KINOWELT Gera	Cinema
0eb526b7-cd29-385f-ba25-65ad876bfe11	Dornröschen (2019)	Film
faca0bd7-9e96-3e97-900c-c6129eabe44d	Apocalypse Now	Film
(53.5622432,9.9653286)	Hamburg	City
a6800583-5fc3-31a8-9b98-fce6ec2560c4	Jamie Dornan	Person
(48.8906997,8.6955224)	Pforzheim	City
e7bf38b7-cf3a-376b-ad4d-26f9af88d2dc	Der Herr der Ringe - Die Gefährten	Film
9e201330-6a16-37a3-800f-7a519ca98178	X-Men	Film
6c7af8af-0495-3db9-a0a6-c3a033f26d8e	Ben-Hur: The Epic That Changed Cinema	Film
da547a2a-e7d5-3026-b78b-992e155c768d	Befreite Lust	Film
c8433129-6fb9-3fc9-857a-188057eb6971	Gerhard Wittmann	Person
e98904bd-d917-3c16-a95b-e29d2f3ce6ea	Knut Hartwig	Person
057ad5c4-3275-3527-95d3-2c880e0a6fdc	Tödliche Mission	Film
9e9588fb-b4a1-3d86-bdf2-476b4398b190	Schmelzer-Lichtspiele	Cinema
5540b6d4-707b-39fc-bfed-06e2ca268900	Capitol Lichtspiele	Cinema
72ab3136-ad0c-3273-8908-fd5139495a23	Ein Film von robert Dornhelm	Film
d41b9ee2-a66e-3604-bb15-7db8ae990c13	Filmkunsttheater Marburg	Cinema
05ca457d-59d9-3e25-a294-6abb685dfbaf	Rosakinder	Film
11b72860-3da4-35ff-b19d-d70be07fe9d0	Ein Dorf sieht schwarz	Film
60d6e745-2ecf-3ed8-aaae-af14e8b6b60a	Wilbur Fitzgerald	Person
(50.9867624,12.9769553)	Mittweida	City
(48.87575755,9.39560535227346)	Winnenden	City
b7261422-5ada-3b7b-a31b-4d46df91b872	Donna Biscoe	Person
d031b9d8-8e75-38a3-98c7-b451222069ae	moviac - Kino im Kaiserhof	Cinema
4fa74dcd-8527-3b8b-b870-e09f00d20982	Roman Polanski	Film
8cd3ea32-3a5a-3f3c-a59f-b0966d13d9e0	Barbara Cabrita	Person
6ea147ec-c798-3b46-add9-948e941fe252	Tom Beck	Person
c735b57b-5800-3522-a736-10d5eb1c2696	Michael Yama	Person
(48.3056415,11.9151654)	Erding	City
8d75b102-bf33-3f28-8bca-1686edf7caff	Black Panther	Film
25a6187e-c93e-3987-b337-9b14e897a0dd	A Selection of Portraits	Film
82bfe15f-4eb9-3fe9-ac6e-93f950b56eeb	Smoke	Film
8160d122-dc63-3389-8970-9bffb5215545	Will Smith	Person
f198f927-1aad-34db-8450-ce84c5b205cb	Kino Grimm	Cinema
9266164c-998f-35a3-8dbd-02ed04690806	Riddhi Sen	Person
13bb8bea-9828-3a43-85cd-cf85a91f066f	The Golden Circle	Film
(49.3653948,8.5324692)	Ketsch	City
e3a3c227-5d4c-347e-8d66-8c6fb353d137	Bob Jennings	Person
(49.4903632,7.8989813)	Enkenbach-Alsenborn	City
3eecec63-1e30-32ef-89b0-af8ac8ea66da	Hilfe, ich habe meine Eltern geschrumpft	Film
ad5ae0af-e29e-3258-b020-add0f6115bc3	Chris Cooper	Person
487702a2-c611-3a77-9e10-1e8688896f2d	In the Line of Duty	Film
a89a96aa-ca9c-3348-85e8-c65fcbbaf0ee	Central Lichtspiele	Cinema
(49.491947,8.462627)	Mannheim	City
